"","genotype"
"1","aa"
"2","aa"
"3","Aa"
"4","aa"
"5","Aa"
"6","Aa"
"7","aa"
"8","AA"
"9","Aa"
"10","Aa"
"11","Aa"
"12","Aa"
"13","aa"
"14","AA"
"15","Aa"
"16","aa"
"17","aa"
"18","AA"
"19","Aa"
"20","Aa"
"21","aa"
"22","AA"
"23","aa"
"24","aa"
"25","AA"
"26","Aa"
"27","Aa"
"28","aa"
"29","Aa"
"30","aa"
"31","aa"
"32","aa"
"33","Aa"
"34","Aa"
"35","AA"
"36","aa"
"37","AA"
"38","AA"
"39","aa"
"40","Aa"
"41","Aa"
"42","Aa"
"43","AA"
"44","aa"
"45","Aa"
"46","aa"
"47","aa"
"48","Aa"
"49","aa"
"50","Aa"
"51","Aa"
"52","Aa"
"53","Aa"
"54","aa"
"55","AA"
"56","aa"
"57","Aa"
"58","AA"
"59","AA"
"60","Aa"
"61","Aa"
"62","aa"
"63","aa"
"64","Aa"
"65","aa"
"66","AA"
"67","AA"
"68","aa"
"69","Aa"
"70","AA"
"71","AA"
"72","AA"
"73","AA"
"74","Aa"
"75","AA"
"76","Aa"
"77","AA"
"78","Aa"
"79","Aa"
"80","AA"
"81","Aa"
"82","AA"
"83","Aa"
"84","Aa"
"85","aa"
"86","Aa"
"87","AA"
"88","AA"
"89","AA"
"90","Aa"
"91","Aa"
"92","AA"
"93","AA"
"94","aa"
"95","aa"
"96","aa"
"97","Aa"
"98","Aa"
"99","aa"
"100","Aa"
